/path/path/file                                                                                                                  100%  427KB 426.7KB/s   00:01
/path/path/file                                                                                                                     100% 1014     1.0KB/s   00:00
/path/path/file                                                                                                                     100%  426KB 425.7KB/s   00:01
/path/path/file                                                                                                                  100%  278KB 278.0KB/s   00:01
/path/path/file                                                                                                                     100% 8911     8.7KB/s   00:00
/path/path/file                                                                                                                     100% 5105     5.0KB/s   00:01
/path/path/file                                                                                                                                 100%   26KB  25.7KB/s   00:00
/path/path/file                                                                                                                            100%  290     0.3KB/s   00:01
/path/path/file                                                                                                                  100%  382KB 381.9KB/s   00:01
/path/path/file                                                                                                                     100%  277KB 277.5KB/s   00:00
/path/path/file                                                                                                                     100% 5105     5.0KB/s   00:00
/path/path/file                                                                                                                              100%  288     0.3KB/s   00:00
/path/path/file                                                                                                                100% 4709     4.6KB/s   00:00
/path/path/file                                                                                                                                 100%   26KB  26.0KB/s   00:00
/path/path/file                                                                                               100%  130KB 129.9KB/s   00:00
/path/path/file                                                                                                     100%   36     0.0KB/s   00:01
/path/path/file                                                                                                     100%   36     0.0KB/s   00:00
/path/path/file                                                                                                              100%   28KB  28.0KB/s   00:01
/path/path/file                                                                                 100%  797KB 796.7KB/s   00:01
/path/path/file                                                                                 100% 5128KB   2.5MB/s   00:02
/path/path/file                                                                                   100% 5140KB   1.3MB/s   00:04
/path/path/file                                                                                   100% 5132KB 855.3KB/s   00:06
/path/path/file                                                                                   100% 5130KB 641.3KB/s   00:08
/path/path/file                                                                                 100% 5151KB 643.8KB/s   00:08
/path/path/file                                                                                   100% 5135KB 855.8KB/s   00:06
/path/path/file                                                                                   100% 3737KB   1.2MB/s   00:03
/path/path/file                                                                                  100%  326KB 326.5KB/s   00:00
/path/path/file                                                                                   100% 5122KB 640.2KB/s   00:08
/path/path/file                                                                                 100% 5143KB 857.2KB/s   00:06
/path/path/file                                                                                   100% 5140KB 856.6KB/s   00:06
/path/path/file                                                                                         100% 5322KB 591.4KB/s   00:09
/path/path/file                                                                                               100%   84KB  84.4KB/s   00:01
/path/path/file                                                                                   100% 1725KB 431.2KB/s   00:04
/path/path/file                                                                                             100%  327KB 327.4KB/s   00:01
/path/path/file                                                                                       100% 6723KB 448.2KB/s   00:15
/path/path/file                                                                                                  100%   28MB 480.9KB/s   01:00
/path/path/file                                                                                       100%   21MB 840.4KB/s   00:25
/path/path/file                                                                                              100% 6737KB 962.4KB/s   00:07
/path/path/file                                                                                              100%   40MB   1.5MB/s   00:27
/path/path/file                                                                                                     100% 5745     5.6KB/s   00:01
/path/path/file                                                                                                            100%  190MB   2.0MB/s   01:35
/path/path/file                                                                                                          100%   45     0.0KB/s   00:00
/path/path/file                                                                                                        100%   26KB  25.7KB/s   00:00
/path/path/file                                                                                               100%  152     0.2KB/s   00:00
/path/path/file                                                                                                     100%  238KB 238.4KB/s   00:01
/path/path/file                                                                                              100%  918     0.9KB/s   00:00
/path/path/file                                                                                            100% 6532     6.4KB/s   00:00
/path/path/file                                                                            100%   47MB   1.3MB/s   00:36
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                            100%   47MB   1.3MB/s   00:[0/400]
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                            100%   53MB   1.8MB/s   00:30
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                            100%   57MB   1.2MB/s   00:48
/path/path/file                                                                            100%   48MB   1.4MB/s   00:34
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                            100%   57MB   1.1MB/s   00:53
/path/path/file                                                                            100%   57MB   1.7MB/s   00:34
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                        100% 1736     1.7KB/s   00:01
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                            100%   53MB   1.4MB/s   00:39
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                        100% 1736     1.7KB/s   00:01
/path/path/file                                                                            100%   60MB   1.3MB/s   00:45
/path/path/file                                                                            100%   61MB   1.6MB/s   00:38
/path/path/file                                                                            100%   53MB   1.6MB/s   00:34
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                        100% 1736     1.7KB/s   00:01
/path/path/file                                                                                  100% 1728     1.7KB/s   00:00
/path/path/file                                                                        100% 1736     1.7KB/s   00:01
/path/path/file                                                                            100%   56MB   1.3MB/s   00:45
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                        100% 1736     1.7KB/s   00:01
/path/path/file                                                                            100%   62MB   1.5MB/s   00:42
/path/path/file                                                                            100%   53MB   1.3MB/s   00:41
/path/path/file                                                                        100% 1736     1.7KB/s   00:01
/path/path/file                                                                            100%   56MB   1.3MB/s   00:42
/path/path/file                                                                            100%   53MB   1.4MB/s   00:38
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
/path/path/file                                                                            100%   53MB   1.8MB/s   00:30
/path/path/file                                                                            100%   55MB   1.3MB/s   00:42
/path/path/file                                                                            100%   62MB   1.5MB/s   00:42
/path/path/file                                                                            100%   58MB   1.4MB/s   00:41
/path/path/file                                                                            100%   57MB   1.5MB/s   00:37
/path/path/file                                                                        100% 1736     1.7KB/s   00:00
